fertilizer_type,observations,naive_MAE,rf_MAE
urea,180,0.5683333333333334,0.7515753593474432
npks,180,0.5319444444444444,0.5314451438492058
dap,180,0.45638888888888884,0.46170124911816623
mop,180,0.1831111111111111,0.3364196759259261
