model,dataset,MAE,RMSE,R2
Feature-Engineered Random Forest,validation,0.4141469875716484,1.0856847348609209,0.9855372851419667
Feature-Engineered Random Forest,test,0.5340002506338178,1.6143063337641956,0.9726035113061621
